age,job,marital_status,education,balance_eur,housing_loan,personal_loan,communication_type,contacts_this_campaign,days_since_previous_contact,contacts_before_campaign,previous_campaign_outcome,subscribed,call_duration_minutes,days_since_previous_contact_nan,contacts_before_campaign_nan,date,weekday,month,was_contacted_before,job_group,has_loan,has_both_loan
55,admin.,Married,secondary,602,0,0,cellular,3,90,2,success,1,5.4,90.0,2.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,0,0
57,entrepreneur,Married,secondary,2464,0,0,cellular,1,-1,0,unknown,0,1.8833333333333333,,,2009-06-01,Monday,June,0,Entrepreneur/Self-employed,0,0
57,management,Married,tertiary,473,0,0,cellular,1,-1,0,unknown,1,4.916666666666667,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
55,technician,Married,secondary,511,1,0,cellular,1,94,2,other,0,1.8,94.0,2.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,0
28,admin.,Single,tertiary,14,0,0,cellular,1,-1,0,unknown,0,3.35,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
38,technician,Single,tertiary,0,1,0,cellular,1,-1,0,unknown,0,1.1833333333333333,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,0
48,management,Married,tertiary,1167,1,1,cellular,1,-1,0,unknown,1,4.4,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,1,1
46,admin.,Single,secondary,3280,0,0,cellular,1,-1,0,unknown,0,1.8333333333333333,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
26,management,Single,tertiary,1274,1,0,cellular,1,84,1,failure,0,3.1666666666666665,84.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,0
25,unemployed,Single,tertiary,343,0,0,cellular,1,-1,0,unknown,1,6.283333333333333,,,2009-06-01,Monday,June,0,Student/Retired/Unemployed,0,0
49,management,Married,tertiary,1808,1,0,cellular,1,95,1,success,1,3.4166666666666665,95.0,1.0,2009-06-01,Monday,June,1,Admin/Mgmt/Tech,1,0
25,technician,Single,secondary,1199,0,0,cellular,1,-1,0,unknown,1,4.783333333333333,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
40,management,Single,tertiary,3355,0,0,cellular,1,-1,0,unknown,0,3.533333333333333,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
43,management,Married,tertiary,0,0,0,cellular,1,-1,0,unknown,0,5.766666666666667,,,2009-06-01,Monday,June,0,Admin/Mgmt/Tech,0,0
38,housemaid,Single,secondary,70,0,0,cellular,1,-1,0,unknown,1,4.383333333333334,,,2009-06-01,Monday,June,0,Blue-collar/Service,0,0
